Unit Number,DegreesC,Current (mA),Hours,Voltage (mV),Relative Change
208,61,30,330,5.55761,0.96708
208,61,30,402,5.49056,0.95541
208,61,30,498,5.41504,0.94227
208,61,30,570,5.32236,0.92615
208,61,30,666,5.28419,0.9195
208,61,30,738,5.2409,0.91197
208,61,30,834,5.17133,0.89987
208,61,30,906,5.10682,0.88864
209,61,30,138,5.87006,1
209,61,30,234,5.77926,0.98453
209,61,30,330,5.66981,0.96588
209,61,30,402,5.56598,0.9482
209,61,30,498,5.48055,0.93364
209,61,30,570,5.39258,0.91866
209,61,30,666,5.33919,0.90956
209,61,30,738,5.29603,0.90221
209,61,30,834,5.23578,0.89195
209,61,30,906,5.18967,0.88409
210,61,30,138,5.98374,1
210,61,30,234,5.86508,0.98017
210,61,30,330,5.73359,0.95819
210,61,30,402,5.63849,0.9423
210,61,30,498,5.52249,0.92292
210,61,30,570,5.45117,0.911
210,61,30,666,5.38244,0.89951
210,61,30,738,5.32444,0.88982
210,61,30,834,5.26628,0.8801
210,61,30,906,5.24224,0.87608
211,61,30,138,5.58223,1
211,61,30,234,5.49451,0.98429
211,61,30,330,5.38085,0.96392
211,61,30,402,5.28007,0.94587
211,61,30,498,5.17707,0.92742
211,61,30,570,5.13012,0.91901
211,61,30,666,5.06162,0.90674
211,61,30,738,4.99782,0.89531
211,61,30,834,4.94062,0.88506
211,61,30,906,4.90519,0.87872
212,61,30,138,5.79293,1
212,61,30,234,5.68302,0.98103
212,61,30,330,5.54276,0.95682
212,61,30,402,5.42371,0.93626
212,61,30,498,5.34237,0.92222
212,61,30,570,5.29641,0.91429
212,61,30,666,5.23389,0.9035
212,61,30,738,5.15659,0.89015
212,61,30,834,5.10117,0.88059
212,61,30,906,5.03706,0.86952
213,61,30,138,6.67295,1
213,61,30,234,6.56201,0.98337
213,61,30,330,6.3789,0.95593
213,61,30,402,6.27592,0.9405
213,61,30,498,6.17147,0.92485
213,61,30,570,6.08057,0.91123
213,61,30,666,6.02394,0.90274
213,61,30,738,5.93573,0.88952
213,61,30,834,5.88242,0.88153
213,61,30,906,5.80409,0.86979
214,61,30,138,6.75232,1
214,61,30,234,6.66618,0.98724
214,61,30,330,6.51771,0.96525
214,61,30,402,6.41722,0.95037
214,61,30,498,6.28905,0.93139
214,61,30,570,6.18089,0.91537
214,61,30,666,6.11207,0.90518
214,61,30,738,6.05025,0.89603
214,61,30,834,5.99875,0.8884
214,61,30,906,5.93668,0.87921
215,61,30,138,6.17606,1
215,61,30,234,6.05513,0.98042
215,61,30,330,5.9203,0.95859
215,61,30,402,5.81397,0.94137
215,61,30,498,5.70029,0.92296
215,61,30,570,5.62839,0.91132
215,61,30,666,5.55499,0.89944
215,61,30,738,5.49625,0.88993
215,61,30,834,5.43803,0.8805
215,61,30,906,5.40764,0.87558
216,61,30,138,6.19257,1
216,61,30,234,6.13945,0.99142
216,61,30,330,6.01354,0.97109
216,61,30,402,5.92446,0.95671
216,61,30,498,5.83834,0.9428
216,61,30,570,5.77355,0.93234
216,61,30,666,5.69786,0.92011
216,61,30,738,5.63584,0.9101
216,61,30,834,5.54983,0.89621
216,61,30,906,5.51693,0.8909
217,61,30,138,5.55601,1
217,61,30,234,5.48791,0.98774
217,61,30,330,5.37453,0.96734
217,61,30,402,5.30532,0.95488
217,61,30,498,5.21688,0.93896
217,61,30,570,5.14292,0.92565
217,61,30,666,5.0973,0.91744
217,61,30,738,5.05003,0.90893
217,61,30,834,4.97749,0.89588
217,61,30,906,4.92501,0.88643
218,61,30,138,5.94959,1
218,61,30,234,5.91867,0.9948
218,61,30,330,5.77477,0.97062
218,61,30,402,5.69741,0.95761
218,61,30,498,5.59728,0.94078
218,61,30,570,5.50024,0.92447
218,61,30,666,5.45845,0.91745
218,61,30,738,5.3055,0.89174
218,61,30,834,5.23622,0.8801
218,61,30,906,5.17752,0.87023
219,61,30,138,6.73371,1
219,61,30,234,6.62081,0.98323
219,61,30,330,6.43577,0.95575
219,61,30,402,6.36215,0.94482
219,61,30,498,6.25529,0.92895
219,61,30,570,6.16842,0.91605
219,61,30,666,6.0852,0.90369
219,61,30,738,5.91901,0.87901
219,61,30,834,5.94576,0.88298
219,61,30,906,5.88501,0.87396
220,61,30,138,5.14672,1
220,61,30,234,5.07729,0.98651
220,61,30,330,5.01186,0.9738
220,61,30,402,4.93647,0.95915
220,61,30,498,4.85318,0.94296
220,61,30,570,4.80028,0.93269
220,61,30,666,4.72621,0.9183
220,61,30,738,4.64649,0.90281
220,61,30,834,4.61402,0.8965
220,61,30,906,4.60142,0.89405
221,61,30,138,6.29081,1
221,61,30,234,6.20149,0.9858
221,61,30,330,6.09227,0.96844
221,61,30,402,6.00191,0.95408
221,61,30,498,5.92442,0.94176
221,61,30,570,5.7508,0.91416
221,61,30,666,5.74779,0.91368
221,61,30,738,5.65096,0.89829
221,61,30,834,5.64704,0.89766
221,61,30,906,5.59827,0.88991
222,61,30,138,6.24465,1
222,61,30,234,6.17739,0.98923
222,61,30,330,6.00844,0.96218
222,61,30,402,5.91131,0.94662
222,61,30,498,5.81934,0.93189
222,61,30,570,5.70845,0.91414
222,61,30,666,5.66071,0.90649
222,61,30,738,5.59655,0.89622
222,61,30,834,5.52913,0.88542
222,61,30,906,5.47051,0.87603
223,61,30,138,6.47214,1
223,61,30,234,6.41574,0.99129
223,61,30,330,6.23366,0.96315
223,61,30,402,6.14411,0.94932
223,61,30,498,6.04952,0.9347
223,61,30,570,5.92635,0.91567
223,61,30,666,5.90851,0.91292
223,61,30,738,5.84234,0.90269
223,61,30,834,5.77591,0.89243
223,61,30,906,5.7189,0.88362
224,61,30,138,6.30735,1
224,61,30,234,6.23301,0.98821
224,61,30,330,6.08312,0.96445
224,61,30,402,6.00783,0.95251
224,61,30,498,5.89613,0.9348
224,61,30,570,5.83014,0.92434
224,61,30,666,5.78305,0.91687
224,61,30,738,5.70705,0.90483
224,61,30,834,5.64738,0.89537
224,61,30,906,5.60794,0.88911
225,61,30,138,5.73945,1
225,61,30,234,5.65313,0.98496
225,61,30,330,5.56533,0.96966
225,61,30,402,5.46574,0.95231
225,61,30,498,5.36581,0.9349
225,61,30,570,5.33673,0.92983
225,61,30,666,5.25149,0.91498
225,61,30,738,5.19273,0.90474
225,61,30,834,5.15509,0.89819
225,61,30,906,5.128,0.89347
226,61,30,138,6.56756,1
226,61,30,234,6.4513,0.9823
226,61,30,330,6.29709,0.95882
226,61,30,402,6.18057,0.94107
226,61,30,498,6.0657,0.92358
226,61,30,570,5.99869,0.91338
226,61,30,666,5.91187,0.90016
226,61,30,738,5.85572,0.89161
226,61,30,834,5.78893,0.88144
226,61,30,906,5.74352,0.87453
227,61,30,138,5.03051,1
227,61,30,234,4.9872,0.99139
227,61,30,330,4.86042,0.96619
227,61,30,402,4.79188,0.95256
227,61,30,498,4.71699,0.93767
227,61,30,570,4.63119,0.92062
227,61,30,666,4.5903,0.91249
227,61,30,738,4.54832,0.90415
227,61,30,834,4.49354,0.89326
227,61,30,906,4.44327,0.88326
228,61,30,138,5.8972,1
228,61,30,234,5.87348,0.99598
228,61,30,330,5.72581,0.97094
228,61,30,402,5.64289,0.95688
228,61,30,498,5.53581,0.93872
228,61,30,570,5.41092,0.91754
228,61,30,666,5.38119,0.9125
228,61,30,738,5.30515,0.8996
228,61,30,834,5.2562,0.8913
228,61,30,906,5.19994,0.88176
229,61,30,138,6.26492,1
229,61,30,234,6.18057,0.98654
229,61,30,330,6.02376,0.96151
229,61,30,402,5.90069,0.94186
229,61,30,498,5.77499,0.9218
229,61,30,570,5.69647,0.90926
229,61,30,666,5.64213,0.90059
229,61,30,738,5.55187,0.88618
229,61,30,834,5.49755,0.87751
229,61,30,906,5.44718,0.86947
230,61,30,138,5.3053,1
230,61,30,234,5.30434,0.99982
230,61,30,330,5.12294,0.96563
230,61,30,402,5.04336,0.95063
230,61,30,498,4.93842,0.93085
230,61,30,570,4.84563,0.91336
230,61,30,666,4.78369,0.90168
230,61,30,738,4.74183,0.89379
230,61,30,834,4.68668,0.8834
230,61,30,906,4.6368,0.87399
301,110,40,138,5.51616,1
301,110,40,234,5.33343,0.96687
301,110,40,330,5.17481,0.93812
301,110,40,402,5.08942,0.92264
301,110,40,498,4.97709,0.90227
301,110,40,570,4.89949,0.88821
301,110,40,666,4.78072,0.86667
301,110,40,738,4.70637,0.8532
301,110,40,834,4.57993,0.83027
301,110,40,906,4.50734,0.81711
302,110,40,138,6.46307,1
302,110,40,234,6.28225,0.97202
302,110,40,330,6.10885,0.94519
302,110,40,402,6.0181,0.93115
302,110,40,498,5.88688,0.91085
302,110,40,570,5.80707,0.8985
302,110,40,666,5.63962,0.87259
302,110,40,738,5.57467,0.86254
302,110,40,834,5.47165,0.8466
302,110,40,906,5.39078,0.83409
303,110,40,138,6.66134,1
303,110,40,234,6.4574,0.96938
303,110,40,330,6.27448,0.94192
303,110,40,402,6.18626,0.92868
303,110,40,498,6.04392,0.90731
303,110,40,570,5.96138,0.89492
303,110,40,666,5.80755,0.87183
303,110,40,738,5.72142,0.8589
303,110,40,834,5.64338,0.84718
303,110,40,906,5.55341,0.83368
304,110,40,138,7.27874,1
304,110,40,234,7.06121,0.97011
304,110,40,330,6.87355,0.94433
304,110,40,402,6.80213,0.93452
304,110,40,498,6.63997,0.91224
304,110,40,570,6.53866,0.89832
304,110,40,666,6.38267,0.87689
304,110,40,738,6.27677,0.86234
304,110,40,834,6.16529,0.84703
304,110,40,906,6.05565,0.83196
305,110,40,138,6.67696,1
305,110,40,234,6.48383,0.97108
305,110,40,330,6.28749,0.94167
305,110,40,402,6.2179,0.93125
305,110,40,498,6.09268,0.91249
305,110,40,570,5.99409,0.89773
305,110,40,666,5.86643,0.87861
305,110,40,738,5.77123,0.86435
305,110,40,834,5.6607,0.8478
305,110,40,906,5.55967,0.83266
306,110,40,138,6.80736,1
306,110,40,234,6.57984,0.96658
306,110,40,330,6.42508,0.94384
306,110,40,402,6.3328,0.93029
306,110,40,498,6.19,0.90931
306,110,40,570,6.06799,0.89139
306,110,40,666,5.90996,0.86817
306,110,40,738,5.737,0.84276
306,110,40,834,5.65346,0.83049
306,110,40,906,5.57178,0.81849
307,110,40,138,6.5816,1
307,110,40,234,6.33227,0.96212
307,110,40,330,6.16622,0.93689
307,110,40,402,6.07002,0.92227
307,110,40,498,5.93573,0.90187
307,110,40,570,5.83999,0.88732
307,110,40,666,5.70701,0.86712
307,110,40,738,5.61167,0.85263
307,110,40,834,5.53599,0.84113
307,110,40,906,5.46351,0.83012
308,110,40,138,6.35164,1
308,110,40,234,6.12362,0.9641
308,110,40,330,5.96168,0.9386
308,110,40,402,5.88904,0.92717
308,110,40,498,5.75124,0.90547
308,110,40,570,5.66196,0.89142
308,110,40,666,5.53123,0.87083
308,110,40,738,5.44206,0.8568
308,110,40,834,5.35959,0.84381
308,110,40,906,5.26002,0.82814
309,110,40,138,6.94085,1
309,110,40,234,6.73566,0.97044
309,110,40,330,6.55802,0.94484
309,110,40,402,6.47869,0.93341
309,110,40,498,6.32842,0.91176
309,110,40,570,6.23468,0.89826
309,110,40,666,6.09416,0.87801
309,110,40,738,5.99501,0.86373
309,110,40,834,5.90081,0.85016
309,110,40,906,5.79799,0.83534
310,110,40,138,6.6325,1
310,110,40,234,6.4633,0.97449
310,110,40,330,6.284,0.94746
310,110,40,402,6.19604,0.93419
310,110,40,498,6.05904,0.91354
310,110,40,570,5.95769,0.89826
310,110,40,666,5.80234,0.87483
310,110,40,738,5.69541,0.85871
310,110,40,834,5.59284,0.84325
310,110,40,906,5.49073,0.82785
311,110,40,138,6.86254,1
311,110,40,234,6.65467,0.96971
311,110,40,330,6.47524,0.94356
311,110,40,402,6.37253,0.9286
311,110,40,498,6.2324,0.90818
311,110,40,570,6.13251,0.89362
311,110,40,666,5.97376,0.87049
311,110,40,738,5.87013,0.85539
311,110,40,834,5.75869,0.83915
311,110,40,906,5.65502,0.82404
312,110,40,138,6.01371,1
312,110,40,234,5.78419,0.96183
312,110,40,330,5.61299,0.93337
312,110,40,402,5.52432,0.91862
312,110,40,498,5.39755,0.89754
312,110,40,570,5.31905,0.88449
312,110,40,666,5.20981,0.86632
312,110,40,738,5.11029,0.84977
312,110,40,834,5.04848,0.8395
312,110,40,906,4.95332,0.82367
313,110,40,138,7.31304,1
313,110,40,234,7.08078,0.96824
313,110,40,330,6.86707,0.93902
313,110,40,402,6.75931,0.92428
313,110,40,498,6.60906,0.90374
313,110,40,570,6.49282,0.88784
313,110,40,666,6.33588,0.86638
313,110,40,738,6.19473,0.84708
313,110,40,834,6.11291,0.83589
313,110,40,906,5.97616,0.81719
314,110,40,138,6.57322,1
314,110,40,234,6.40484,0.97438
314,110,40,330,6.23747,0.94892
314,110,40,402,6.16866,0.93845
314,110,40,498,6.01633,0.91528
314,110,40,570,5.91431,0.89976
314,110,40,666,5.7592,0.87616
314,110,40,738,5.64618,0.85897
314,110,40,834,5.56688,0.8469
314,110,40,906,5.44671,0.82862
315,110,40,138,6.52643,1
315,110,40,234,6.34797,0.97266
315,110,40,330,6.1531,0.9428
315,110,40,402,6.06779,0.92973
315,110,40,498,5.94531,0.91096
315,110,40,570,5.85772,0.89754
315,110,40,666,5.71164,0.87515
315,110,40,738,5.61233,0.85994
315,110,40,834,5.51681,0.8453
315,110,40,906,5.43405,0.83262
316,110,40,138,6.93468,1
316,110,40,234,6.71703,0.96861
316,110,40,330,6.52988,0.94163
316,110,40,402,6.46155,0.93177
316,110,40,498,6.32367,0.91189
316,110,40,570,6.20622,0.89495
316,110,40,666,6.0719,0.87558
316,110,40,738,5.96069,0.85955
316,110,40,834,5.81625,0.83872
316,110,40,906,5.73821,0.82747
317,110,40,138,6.58123,1
317,110,40,234,6.32334,0.96081
317,110,40,330,6.15482,0.93521
317,110,40,402,6.07341,0.92284
317,110,40,498,5.91867,0.89933
317,110,40,570,5.8233,0.88483
317,110,40,666,5.69292,0.86502
317,110,40,738,5.60054,0.85099
317,110,40,834,5.51866,0.83854
317,110,40,906,5.42003,0.82356
318,110,40,138,6.45104,1
318,110,40,234,6.22243,0.96456
318,110,40,330,6.06152,0.93962
318,110,40,402,5.98889,0.92836
318,110,40,498,5.83631,0.90471
318,110,40,570,5.73335,0.88875
318,110,40,666,5.58877,0.86634
318,110,40,738,5.4095,0.83855
318,110,40,834,5.34192,0.82807
318,110,40,906,5.22397,0.80979
319,110,40,138,7.09307,1
319,110,40,234,6.80835,0.95986
319,110,40,330,6.59771,0.93016
319,110,40,402,6.54249,0.92238
319,110,40,498,6.47263,0.91253
319,110,40,570,6.34943,0.89516
319,110,40,666,6.2119,0.87577
