Hours,Censoring Indicator,Truncation Hours,Truncation Indicator
18273,Failed,9778,Left
21100,Failed,9348,Left
19641,Failed,9545,Left
19201,Failed,7467,Left
18274,Right,9778,Left
21347,Failed,9548,Left
18764,Failed,9388,Left
11211,Failed,9338,Left
18265,Right,9768,Left
16643,Failed,9546,Left
11523,Failed,9348,Left
21829,Failed,9469,Left
21977,Right,9525,Left
18269,Right,9770,Left
21977,Failed,9525,Left
21976,Failed,9524,Left
12690,Right,9546,Left
22477,Failed,9546,Left
21746,Right,9371,Left
15615,Failed,8037,Left
14654,Failed,9546,Left
19303,Failed,9545,Left
21808,Right,9708,Left
18274,Right,9780,Left
21405,Failed,9747,Left
22817,Failed,9745,Left
22097,Right,5813,Left
21595,Failed,9745,Left
21263,Failed,9369,Left
15494,Failed,10316,Left
21975,Failed,9523,Left
12606,Right,9709,Left
15704,Right,2625,Left
18267,Right,9770,Left
21978,Failed,9524,Left
21975,Failed,9523,Left
21975,Failed,9524,Left
17325,Failed,9746,Left
22790,Failed,9717,Left
18272,Right,9773,Left
21975,Right,9524,Left
21490,Failed,9116,Left
10100,Right,9531,Left
10104,Right,9535,Left
17560,Failed,9525,Left
24739,Right,9468,Left
22818,Right,9745,Left
21682,Failed,9546,Left
17161,Failed,10301,Left
21694,Failed,9315,Left
17107,Failed,9388,Left
12481,Right,9338,Left
17212,Failed,9369,Left
17454,Failed,9746,Left
19203,Failed,7468,Left
17073,Failed,9469,Left
12792,Right,9646,Left
17132,Failed,9388,Left
19069,Failed,9387,Left
14972,Failed,9745,Left
16972,Failed,9695,Left
20936,Failed,9545,Left
18859,Failed,10325,Left
14217,Failed,9545,Left
15319,Failed,9746,Left
22507,Failed,10274,Left
12887,Right,9743,Left
10099,Right,9530,Left
15225,Failed,9349,Left
18266,Failed,9768,Left
22678,Right,9744,Left
12609,Right,9470,Left
30067,Right,9387,Left
14438,Failed,9545,Left
19549,Failed,9470,Left
17950,Failed,8035,Left
15428,Failed,9745,Left
22603,Right,10325,Left
12046,Failed,9707,Left
18277,Right,9782,Left
18265,Right,9769,Left
22820,Right,9746,Left
22508,Right,10275,Left
23408,Failed,9470,Left
21498,Failed,9745,Left
24742,Right,9468,Left
21316,Right,8338,Left
19559,Failed,9369,Left
16486,Failed,9585,Left
18594,Failed,7994,Left
13359,Failed,7468,Left
22508,Failed,10275,Left
21807,Right,9707,Left
21244,Failed,9367,Left
16435,Failed,9708,Left
23745,Right,10301,Left
20765,Failed,9348,Left
14147,Failed,9586,Left
21099,Right,9347,Left
16888,Failed,7941,Left
20238,Right,8001,Left
19669,Failed,9470,Left
20568,Failed,9370,Left
19655,Right,1966,Left
20241,Failed,8003,Left
21743,Right,9370,Left
21530,Right,9588,Left
21073,Right,7993,Left
15443,Failed,9747,Left
18262,Right,9767,Left
18271,Right,9773,Left
16109,Failed,10325,Left
19141,Failed,9388,Left
14055,Failed,8034,Left
18458,Failed,8360,Left
21792,Right,8356,Left
18636,Failed,7002,Left
13504,Failed,7485,Left
21240,Right,9366,Left
22776,Right,10325,Left
21316,Right,8338,Left
18555,Failed,8001,Left
21803,Failed,10302,Left
18266,Right,9768,Left
21977,Failed,9524,Left
21132,Failed,9529,Left
21244,Failed,9368,Left
11692,Failed,9349,Left
19709,Failed,9349,Left
21978,Failed,9525,Left
21101,Right,9348,Left
18268,Right,9772,Left
19572,Failed,8849,Left
22608,Right,10327,Left
21069,Failed,7992,Left
18266,Right,9769,Left
18430,Failed,10327,Left
17092,Failed,6472,Left
23004,Failed,10303,Left
21244,Right,9367,Left
17263,Failed,9647,Left
17650,Failed,9470,Left
19863,Failed,7485,Left
20584,Right,8852,Left
22508,Right,10275,Left
15383,Failed,9366,Left
22510,Right,10276,Left
22422,Failed,9545,Left
17852,Failed,9315,Left
21312,Right,8336,Left
21313,Right,8337,Left
20586,Failed,8854,Left
21525,Right,9585,Left
17954,Failed,7468,Left
22601,Right,9344,Left
21314,Right,8337,Left
18266,Right,9770,Left
18266,Right,9768,Left
21769,Right,8842,Left
15770,Failed,7397,Left
12607,Right,9468,Left
10096,Right,9527,Left
14896,Failed,9709,Left
14595,Failed,9546,Left
15430,Failed,9366,Left
10098,Right,9530,Left
21976,Right,9524,Left
10096,Right,9527,Left
19548,Failed,8849,Left
15600,Failed,9609,Left
30164,Right,9387,Left
15611,Failed,9387,Left
19635,Failed,9347,Left
22510,Right,10276,Left
21492,Failed,9117,Left
23501,Failed,9388,Left
21103,Failed,9349,Left
21100,Right,9348,Left
12156,Right,9032,Left
17587,Failed,9387,Left
17910,Right,9529,Left
16438,Failed,9744,Left
19836,Failed,9348,Left
22666,Failed,9546,Left
21530,Failed,9588,Left
23294,Right,10315,Left
12610,Right,9470,Left
23298,Right,10317,Left
21260,Failed,9387,Left
18857,Right,7485,Left
19068,Failed,8850,Left
18307,Failed,10274,Left
21978,Right,9525,Left
8826,Failed,7992,Left
22507,Failed,10274,Left
14577,Failed,9344,Left
10103,Right,9535,Left
19217,Failed,9695,Left
18963,Failed,7468,Left
15805,Failed,8035,Left
20583,Right,8852,Left
21101,Failed,9348,Left
18264,Right,9769,Left
21297,Failed,9545,Left
13173,Failed,8001,Left
21527,Right,9586,Left
22386,Failed,10274,Left
10100,Right,9531,Left
24742,Right,9470,Left
14711,Failed,9368,Left
19863,Failed,9707,Left
19420,Failed,9349,Left
15760,Failed,10273,Left
22605,Right,10326,Left
22748,Right,7470,Left
21975,Failed,9523,Left
18291,Failed,9347,Left
19921,Failed,9366,Left
22822,Right,9747,Left
23293,Failed,10315,Left
21692,Failed,9314,Left
18237,Failed,9388,Left
21102,Right,9348,Left
21101,Right,9348,Left
18272,Right,9775,Left
21245,Right,9368,Left
21976,Failed,9524,Left
19204,Right,7468,Left
21102,Right,9349,Left
22821,Right,9747,Left
22822,Right,9747,Left
21693,Right,9315,Left
21102,Failed,9348,Left
21527,Failed,9586,Left
17250,Failed,9525,Left
22506,Failed,10274,Left
14396,Failed,9549,Left
21765,Failed,9747,Left
14875,Failed,9696,Left
21769,Failed,8842,Left
17561,Failed,8853,Left
19865,Failed,7485,Left
16432,Failed,9708,Left
21244,Right,9367,Left
14900,Failed,9348,Left
22820,Right,9746,Left
14197,Failed,9366,Left
16787,Failed,5030,Left
15043,Failed,9348,Left
21530,Right,9587,Left
22054,Failed,10326,Left
21316,Right,8338,Left
22675,Right,9743,Left
21102,Right,9349,Left
12608,Right,9469,Left
12608,Right,9469,Left
13219,Right,9527,Left
21693,Failed,9315,Left
19233,Failed,7469,Left
19859,Failed,7483,Left
15402,Failed,9525,Left
22837,Failed,9546,Left
22510,Right,5318,Left
21319,Failed,10301,Left
14944,Failed,9524,Left
21658,Failed,9545,Left
21526,Right,9586,Left
21758,Failed,9469,Left
17543,Failed,10315,Left
21975,Failed,9524,Left
24738,Right,9469,Left
23744,Right,10301,Left
21133,Right,8036,Left
14570,Failed,9366,Left
18264,Right,9768,Left
18275,Failed,9778,Left
21359,Right,8382,Left
16654,Failed,9386,Left
21100,Right,9347,Left
15249,Failed,9338,Left
18624,Right,9527,Left
14941,Failed,7484,Left
24649,Right,9387,Left
19079,Failed,9609,Left
16406,Failed,9278,Left
22600,Right,9344,Left
21518,Failed,9745,Left
12512,Right,9367,Left
21782,Right,8850,Left
21955,Failed,10325,Left
22478,Failed,9546,Left
23298,Right,10316,Left
21979,Failed,9525,Left
21101,Right,9348,Left
14143,Failed,9545,Left
21313,Right,8337,Left
21102,Failed,9349,Left
12607,Right,9468,Left
17283,Failed,9367,Left
19238,Right,8033,Left
18264,Right,9768,Left
21695,Right,9316,Left
21491,Failed,9117,Left
9962,Failed,9314,Left
21647,Failed,9388,Left
15469,Failed,9598,Left
21281,Failed,9524,Left
21524,Right,9586,Left
10096,Right,9528,Left
16348,Failed,9387,Left
17426,Failed,7468,Left
13990,Failed,9468,Left
21641,Right,7865,Left
18020,Failed,10274,Left
23746,Failed,10301,Left
20914,Failed,9546,Left
21525,Right,9585,Left
20911,Failed,9374,Left
22747,Right,7470,Left
21490,Failed,9116,Left
21530,Right,9588,Left
20814,Right,20695,Left
17560,Failed,9524,Left
18628,Failed,8842,Left
21315,Right,8337,Left
21241,Failed,9366,Left
19704,Failed,9370,Left
21529,Right,9587,Left
11467,Failed,9387,Left
18353,Failed,9695,Left
24647,Right,9387,Left
21111,Failed,8012,Left
16752,Failed,7467,Left
21751,Right,9651,Left
10109,Right,9541,Left
22674,Right,9743,Left
21100,Right,9347,Left
22627,Right,9695,Left
22677,Failed,9744,Left
21694,Right,9315,Left
20583,Failed,8852,Left
21742,Right,9369,Left
21694,Right,9315,Left
14888,Failed,9348,Left
20813,Right,20694,Left
21976,Right,9524,Left
10146,Right,9578,Left
16335,Failed,10316,Left
22606,Right,10326,Left
22820,Right,9746,Left
20241,Right,8002,Left
10103,Right,9534,Left
10108,Right,9539,Left
17392,Failed,8853,Left
15540,Failed,9549,Left
14057,Failed,8853,Left
9168,Failed,7469,Left
17996,Failed,10274,Left
12425,Failed,8011,Left
16956,Failed,10326,Left
14894,Failed,9707,Left
23299,Right,10317,Left
21620,Failed,9744,Left
18283,Failed,9744,Left
21976,Failed,9524,Left
22820,Failed,9746,Left
16598,Failed,10302,Left
20054,Failed,8852,Left
16868,Failed,10324,Left
17389,Failed,8852,Left
17891,Failed,9117,Left
21639,Failed,9469,Left
22506,Failed,10274,Left
16083,Right,2648,Left
21361,Right,9646,Left
21235,Failed,9746,Left
14718,Failed,9366,Left
14360,Failed,9743,Left
15991,Failed,10324,Left
19772,Failed,10326,Left
21524,Right,9586,Left
22510,Right,10275,Left
21191,Failed,9587,Left
18295,Failed,9349,Left
20223,Failed,9470,Left
21695,Right,9316,Left
23748,Right,10303,Left
19261,Failed,9549,Left
22007,Failed,10327,Left
23749,Right,10302,Left
18908,Failed,9386,Left
17450,Failed,9744,Left
17591,Failed,9388,Left
17275,Failed,9314,Left
19862,Failed,7484,Left
12853,Right,9707,Left
23746,Right,10301,Left
10100,Right,9532,Left
17970,Failed,9590,Left
21977,Failed,9524,Left
15262,Failed,9366,Left
20167,Failed,8001,Left
21528,Right,9587,Left
22673,Right,9743,Left
14591,Failed,9387,Left
22677,Right,9744,Left
22672,Right,9743,Left
21743,Failed,9369,Left
16696,Failed,9348,Left
21808,Right,9708,Left
20895,Failed,9743,Left
22821,Right,9746,Left
16920,Failed,9388,Left
17191,Failed,9469,Left
24741,Right,9469,Left
22993,Failed,9608,Left
21526,Right,9586,Left
17971,Failed,9746,Left
16622,Failed,9585,Left
21241,Right,9366,Left
16309,Failed,9468,Left
14753,Failed,9745,Left
17851,Failed,9315,Left
21691,Failed,9314,Left
21693,Right,9315,Left
21693,Failed,9315,Left
21692,Failed,9314,Left
23746,Right,10301,Left
21523,Failed,9584,Left
22605,Failed,10326,Left
21101,Right,9348,Left
10098,Right,9529,Left
21242,Right,9366,Left
23744,Right,10301,Left
14702,Failed,9469,Left
19459,Failed,9314,Left
22604,Right,10326,Left
10097,Right,9529,Left
20582,Right,8852,Left
21693,Failed,9315,Left
20582,Right,8852,Left
24745,Right,9470,Left
16349,Failed,9387,Left
19120,Failed,9746,Left
22510,Failed,10276,Left
21693,Failed,9315,Left
18850,Failed,9469,Left
22505,Failed,10274,Left
21976,Failed,9524,Left
12000,Failed,9707,Left
18225,Right,9728,Left
20821,Failed,9469,Left
21696,Right,9316,Left
22819,Failed,9745,Left
17659,Failed,9746,Left
21527,Right,9586,Left
21523,Right,9584,Left
15704,Failed,9375,Left
15232,Failed,9709,Left
22674,Failed,9743,Left
21692,Right,9314,Left
23304,Failed,10301,Left
18778,Failed,8849,Left
17022,Failed,9387,Left
22672,Right,9743,Left
14759,Failed,9701,Left
19585,Right,6484,Left
21975,Failed,9524,Left
17503,Failed,9646,Left
21742,Failed,9369,Left
21744,Right,9369,Left
21693,Right,9315,Left
17659,Failed,9387,Left
21693,Right,9315,Left
22247,Failed,9387,Left
16459,Failed,9469,Left
23748,Right,10303,Left
12607,Right,9468,Left
21743,Failed,9370,Left
14526,Failed,9609,Left
24650,Right,9386,Left
10170,Right,9602,Left
23747,Right,10302,Left
16914,Failed,9694,Left
22507,Failed,10275,Left
22605,Right,10326,Left
12510,Right,9365,Left
17778,Failed,9745,Left
21243,Right,9367,Left
21524,Right,9585,Left
21749,Right,9647,Left
10106,Right,9537,Left
22820,Right,9746,Left
17134,Failed,9387,Left
21312,Failed,9609,Left
15384,Failed,9316,Left
20618,Failed,8843,Left
22773,Right,10324,Left
18768,Failed,8337,Left
14761,Failed,9707,Left
19314,Right,7941,Left
18349,Failed,8852,Left
18232,Failed,7485,Left
22772,Right,10323,Left
16640,Failed,9586,Left
16089,Failed,9743,Left
21809,Failed,9709,Left
22675,Failed,9744,Left
18245,Failed,9693,Left
17852,Failed,9747,Left
10108,Right,9539,Left
16370,Failed,9610,Left
10157,Right,9589,Left
21746,Failed,9370,Left
20702,Failed,10271,Left
14551,Failed,8852,Left
20792,Failed,9744,Left
20813,Right,20693,Left
17658,Failed,9745,Left
18117,Failed,9365,Left
21241,Right,9365,Left
13571,Failed,9776,Left
21976,Failed,9524,Left
14568,Failed,9365,Left
12511,Right,9366,Left
22828,Failed,9609,Left
10148,Right,9579,Left
20007,Failed,9708,Left
16654,Failed,9387,Left
17569,Failed,7468,Left
16511,Failed,9707,Left
14384,Failed,9366,Left
20070,Failed,9348,Left
13160,Failed,10327,Left
16990,Failed,10301,Left
10102,Right,9533,Left
18274,Right,9779,Left
18264,Right,9767,Left
11892,Failed,9545,Left
16585,Failed,9744,Left
21808,Right,9707,Left
21689,Failed,9311,Left
18244,Failed,9347,Left
19559,Failed,9366,Left
19821,Failed,9388,Left
21695,Right,9316,Left
21316,Right,8338,Left
18601,Failed,10302,Left
17766,Failed,9545,Left
24743,Right,9469,Left
13667,Failed,9117,Left
13904,Failed,8001,Left
17321,Failed,9743,Left
19983,Failed,9707,Left
16605,Failed,9744,Left
22776,Right,10325,Left
21694,Failed,9316,Left
19471,Failed,8848,Left
21808,Right,9707,Left
11991,Right,8852,Left
15120,Failed,9586,Left
21772,Right,8843,Left
21978,Failed,9524,Left
21745,Failed,9370,Left
17205,Right,9709,Left
16009,Failed,7468,Left
16059,Failed,8338,Left
24654,Right,9388,Left
16956,Failed,6546,Left
16977,Failed,6965,Left
21639,Right,7864,Left
22748,Right,7470,Left
19007,Right,7946,Left
16750,Failed,7863,Left
20590,Right,7466,Left
20594,Right,7467,Left
20594,Right,7467,Left
16271,Failed,9387,Left
16846,Failed,6966,Left
14068,Failed,8034,Left
22028,Failed,10326,Left
22626,Failed,9695,Left
21522,Right,9584,Left
21979,Failed,9525,Left
23246,Right,10266,Left
19204,Failed,7468,Left
15463,Failed,9546,Left
19263,Failed,10317,Left
12607,Right,9468,Left
12452,Failed,9,Left
20254,Failed,10327,Left
20586,Failed,8853,Left
19618,Failed,8848,Left
21743,Failed,9369,Left
16527,Failed,9469,Left
19817,Failed,9745,Left
20313,Failed,9116,Left
17884,Failed,9338,Left
12853,Right,9707,Left
20422,Failed,10325,Left
10098,Right,9529,Left
18593,Failed,9525,Left
14057,Failed,7992,Left
19002,Right,7943,Left
18634,Right,7002,Left
19317,Right,7943,Left
20238,Right,8001,Left
19862,Right,7484,Left
18107,Failed,8031,Left
16392,Failed,8360,Left
8192,Failed,7469,Left
19027,Failed,7922,Left
19813,Right,6522,Left
16046,Right,800,Left
19199,Failed,7467,Left
18574,Failed,7985,Left
20238,Right,8001,Left
12916,Failed,7484,Left
14600,Failed,6541,Left
20240,Failed,8000,Left
20240,Right,8001,Left
20241,Right,8002,Left
19250,Failed,7879,Left
20404,Right,8360,Left
26571,Failed,6281,Left
18854,Right,7484,Left
14046,Failed,8010,Left
11139,Right,8000,Left
18637,Right,7003,Left
16778,Failed,7993,Left
19287,Right,8037,Left
21071,Right,7992,Left
21070,Right,7993,Left
9303,Failed,8001,Left
21107,Right,8010,Left
22900,Right,2120,Left
18017,Failed,7943,Left
15032,Failed,10325,Left
18044,Failed,10273,Left
23743,Failed,10301,Left
22773,Right,10324,Left
22773,Right,10324,Left
17762,Failed,7468,Left
23744,Failed,10301,Left
22605,Right,10326,Left
19720,Failed,10274,Left
19312,Right,7942,Left
20690,Failed,10301,Left
15804,Failed,10267,Left
22565,Failed,10327,Left
23254,Right,10274,Left
23248,Failed,10267,Left
22777,Right,10325,Left
23295,Right,10315,Left
22457,Right,10275,Left
10041,Failed,9536,Left
10109,Right,9541,Left
18634,Failed,7002,Left
22606,Right,10326,Left
22603,Failed,10326,Left
18496,Failed,10270,Left
22773,Right,10324,Left
18091,Failed,10274,Left
18527,Failed,10324,Left
19198,Failed,10325,Left
13461,Right,10316,Left
17363,Failed,10301,Left
18472,Failed,10271,Left
20708,Failed,10326,Left
13460,Right,10315,Left
22773,Right,10324,Left
22509,Failed,10275,Left
13472,Right,10327,Left
15326,Failed,10315,Left
22675,Right,9743,Left
22506,Failed,10274,Left
23295,Right,10315,Left
22774,Right,10324,Left
21886,Failed,10324,Left
22746,Right,7469,Left
22775,Right,10324,Left
20514,Failed,10275,Left
10779,Failed,2865,Left
13235,Failed,7485,Left
21693,Right,9315,Left
22605,Right,10326,Left
12689,Failed,10315,Left
21133,Failed,8036,Left
15822,Failed,10273,Left
22607,Failed,10326,Left
21314,Right,8337,Left
22674,Right,9743,Left
23245,Right,10265,Left
21625,Failed,10325,Left
23385,Failed,10303,Left
23298,Failed,10317,Left
22606,Failed,10326,Left
21443,Failed,9117,Left
23745,Failed,10301,Left
23749,Failed,10302,Left
12553,Failed,10301,Left
22605,Right,10326,Left
21744,Right,9370,Left
21749,Right,9649,Left
13027,Failed,7485,Left
12511,Right,9367,Left
17475,Failed,9370,Left
15995,Failed,10324,Left
22575,Failed,10327,Left
21745,Right,9370,Left
10106,Right,9538,Left
16298,Failed,10315,Left
17419,Failed,9314,Left
22604,Right,10326,Left
22675,Right,9743,Left
15482,Failed,9586,Left
19455,Failed,9524,Left
21636,Right,7864,Left
18339,Failed,9370,Left
16887,Failed,10325,Left
16776,Right,9532,Left
21696,Right,9316,Left
21979,Failed,9525,Left
22078,Right,10325,Left
22510,Right,10276,Left
22510,Failed,10276,Left
10100,Right,9532,Left
22824,Right,9747,Left
17468,Failed,9744,Left
12889,Right,9744,Left
18635,Failed,7002,Left
21696,Failed,9316,Left
19235,Failed,7470,Left
10100,Right,9532,Left
22626,Right,9695,Left
19607,Failed,8336,Left
19722,Failed,10274,Left
21243,Right,9367,Left
15352,Failed,10324,Left
22609,Failed,10327,Left
17316,Failed,9116,Left
15399,Failed,9315,Left
12229,Failed,9708,Left
21318,Right,8339,Left
20680,Failed,10316,Left
15342,Failed,10315,Left
17472,Failed,9366,Left
18268,Right,9772,Left
18357,Failed,10276,Left
25314,Right,9385,Left
19298,Failed,9743,Left
10247,Failed,9743,Left
22673,Right,9743,Left
20577,Failed,7466,Left
16075,Failed,9743,Left
19958,Failed,8852,Left
17561,Failed,9525,Left
23358,Failed,9388,Left
22673,Right,9743,Left
14141,Failed,9468,Left
20980,Right,8050,Left
20593,Right,7467,Left
20648,Failed,9743,Left
18857,Right,7485,Left
20593,Right,7467,Left
18912,Failed,8356,Left
16503,Failed,7963,Left
21071,Right,7993,Left
19006,Right,7946,Left
20244,Right,8003,Left
22699,Right,7470,Left
20242,Right,8002,Left
20535,Failed,7470,Left
20244,Right,8004,Left
19317,Failed,7943,Left
17869,Failed,7961,Left
22744,Right,7469,Left
19315,Failed,7942,Left
11003,Failed,13,Left
19861,Right,7484,Left
20400,Right,8359,Left
20239,Right,8001,Left
21068,Right,7991,Left
22746,Right,7469,Left
20240,Failed,8003,Left
19027,Failed,7922,Left
20401,Right,7467,Left
12278,Failed,7470,Left
22778,Right,10325,Left
22775,Right,10324,Left
19205,Right,7468,Left
19027,Failed,7921,Left
22747,Right,7470,Left
18636,Failed,7002,Left
23247,Right,10268,Left
21068,Failed,7992,Left
19200,Right,7467,Left
20237,Failed,10301,Left
18428,Failed,10326,Left
23744,Right,10301,Left
22773,Right,10324,Left
13439,Right,10301,Left
18869,Failed,7863,Left
20384,Failed,10303,Left
22778,Right,10325,Left
14919,Failed,10326,Left
22749,Right,7470,Left
20590,Right,7465,Left
20327,Failed,10325,Left
23745,Failed,10301,Left
23300,Right,10317,Left
16806,Failed,10301,Left
9337,Failed,7922,Left
19316,Failed,7943,Left
21072,Failed,7993,Left
18634,Failed,7002,Left
13973,Failed,7002,Left
18633,Right,7001,Left
21107,Right,8010,Left
20238,Failed,8001,Left
16501,Failed,7961,Left
19007,Failed,7946,Left
10380,Failed,8001,Left
20239,Failed,8001,Left
18707,Failed,7470,Left
11149,Right,8012,Left
21782,Right,8344,Left
19205,Right,7469,Left
19005,Right,7944,Left
17914,Failed,7002,Left
17553,Failed,7468,Left
18635,Right,7002,Left
19317,Failed,7943,Left
18636,Failed,7002,Left
20403,Failed,8360,Left
19314,Failed,7942,Left
18066,Failed,7993,Left
21108,Failed,8010,Left
8294,Failed,8000,Left
20242,Right,8002,Left
21070,Right,7993,Left
18854,Right,7484,Left
19316,Right,7943,Left
18635,Right,7002,Left
19863,Right,7484,Left
19360,Failed,7987,Left
19236,Failed,8031,Left
8198,Failed,7002,Left
19005,Right,7944,Left
21068,Right,7991,Left
19028,Right,7922,Left
19313,Right,7941,Left
22749,Right,7470,Left
19027,Failed,7922,Left
18592,Failed,7992,Left
21313,Right,8337,Left
15468,Failed,7469,Left
21640,Right,7865,Left
22746,Right,7469,Left
19581,Right,6484,Left
19024,Failed,7921,Left
13915,Failed,7921,Left
20241,Failed,8002,Left
22745,Right,7469,Left
19169,Right,7963,Left
18857,Right,7485,Left
18858,Right,7484,Left
18475,Failed,7922,Left
18396,Failed,8031,Left
18360,Right,6488,Left
11768,Failed,6540,Left
19813,Right,6523,Left
17233,Failed,6471,Left
21735,Right,6484,Left
18724,Right,6481,Left
19329,Right,6541,Left
18362,Right,6489,Left
17232,Failed,6471,Left
17233,Failed,6471,Left
18360,Right,6488,Left
18361,Right,6488,Left
19581,Failed,6483,Left
7594,Failed,6545,Left
18580,Failed,6484,Left
18597,Failed,6965,Left
21687,Right,6484,Left
12605,Failed,6888,Left
19581,Right,6483,Left
21734,Right,6484,Left
18361,Failed,6490,Left
16916,Failed,6483,Left
16411,Failed,6483,Left
18724,Right,6482,Left
18944,Right,6545,Left
19352,Right,6545,Left
18633,Right,7001,Left
19328,Right,6540,Left
18722,Right,6481,Left
18597,Right,6965,Left
17233,Right,6471,Left
19813,Failed,6521,Left
14147,Failed,6545,Left
19583,Right,6484,Left
12550,Failed,6483,Left
19583,Right,6484,Left
18360,Right,6488,Left
11166,Failed,6545,Left
18476,Right,6483,Left
18360,Right,6488,Left
14047,Right,1808,Left
19814,Failed,6522,Left
19582,Right,6484,Left
15534,Failed,6523,Left
18364,Right,6489,Left
18362,Failed,6489,Left
13747,Failed,6482,Left
19583,Right,6483,Left
17613,Failed,6483,Left
19336,Right,6545,Left
17234,Failed,6471,Left
19813,Right,6521,Left
18740,Right,7493,Left
18398,Failed,8033,Left
19285,Right,8037,Left
19287,Right,8037,Left
20404,Right,8360,Left
13342,Failed,8355,Left
19288,Right,8038,Left
19284,Right,8037,Left
21641,Right,7865,Left
19260,Right,8037,Left
19285,Right,8036,Left
20403,Right,8360,Left
19020,Right,7960,Left
21769,Right,8332,Left
20404,Failed,8360,Left
18857,Right,7486,Left
15456,Failed,8356,Left
21794,Right,8356,Left
21794,Right,8356,Left
20593,Failed,7467,Left
16086,Right,2626,Left
20404,Right,8360,Left
19286,Right,8037,Left
20335,Right,8360,Left
20592,Failed,7467,Left
14826,Failed,8356,Left
14866,Failed,8010,Left
18754,Failed,8031,Left
21134,Right,8036,Left
19235,Right,8031,Left
19091,Failed,8036,Left
16415,Failed,6484,Left
21770,Right,7998,Left
19287,Right,8037,Left
21641,Right,7865,Left
15174,Failed,7943,Left
18732,Failed,8036,Left
18855,Failed,7483,Left
19312,Failed,7942,Left
13458,Failed,7921,Left
20591,Failed,7466,Left
22712,Right,7470,Left
22745,Right,7469,Left
21633,Right,7863,Left
17234,Right,6471,Left
19314,Right,7941,Left
18856,Right,7485,Left
17232,Failed,6471,Left
13156,Failed,7941,Left
19006,Right,7945,Left
17234,Right,6471,Left
20592,Right,7466,Left
15555,Failed,6490,Left
10839,Failed,7921,Left
17234,Right,6471,Left
21636,Right,7864,Left
18856,Right,7485,Left
20239,Right,8001,Left
16932,Failed,7484,Left
19267,Right,7895,Left
19101,Failed,7897,Left
20593,Right,7466,Left
18855,Failed,7483,Left
15806,Failed,8034,Left
20592,Failed,7466,Left
19814,Right,6523,Left
18249,Failed,6485,Left
18946,Right,6545,Left
19025,Failed,7921,Left
19004,Failed,7945,Left
18596,Failed,7945,Left
21300,Failed,7864,Left
17235,Failed,6472,Left
18365,Right,6490,Left
20592,Right,7467,Left
17234,Right,6471,Left
19262,Failed,6546,Left
19315,Failed,7943,Left
21073,Failed,7993,Left
19401,Failed,8003,Left
20593,Right,7467,Left
17565,Failed,7467,Left
19316,Failed,7943,Left
17281,Failed,8337,Left
20592,Right,7467,Left
17583,Failed,7485,Left
17499,Failed,6484,Left
19864,Failed,7485,Left
18857,Right,7484,Left
21069,Failed,7992,Left
