PowerDrop,Device,Hours,DegreesC
-0.38084,115,500,195
-0.43089,115,625,195
-0.50236,115,750,195
-0.56991,115,875,195
-0.62273,115,1000,195
-0.66264,115,1125,195
-0.75612,115,1250,195
-0.79289,115,1375,195
-0.80796,115,1500,195
-0.8392,115,1625,195
-0.87104,115,1750,195
-0.90785,115,1875,195
-0.96871,115,2000,195
0,116,0,195
-0.04159,116,125,195
-0.10748,116,250,195
-0.13539,116,375,195
-0.16748,116,500,195
-0.20998,116,625,195
-0.25676,116,750,195
-0.33851,116,875,195
-0.39372,116,1000,195
-0.43292,116,1125,195
-0.47093,116,1250,195
-0.50662,116,1375,195
-0.54778,116,1500,195
-0.59682,116,1625,195
-0.6345,116,1750,195
-0.66159,116,1875,195
-0.69239,116,2000,195
0,117,0,195
-0.1658,117,125,195
-0.2809,117,250,195
-0.3777,117,375,195
-0.4728,117,500,195
-0.5516,117,625,195
-0.6911,117,750,195
-0.7556,117,875,195
-0.8575,117,1000,195
-0.9819,117,1125,195
-1.0097,117,1250,195
-1.0667,117,1375,195
-1.1218,117,1500,195
-1.1443,117,1625,195
-1.1789,117,1750,195
-1.2041,117,1875,195
-1.2192,117,2000,195
0,118,0,195
-0.1198,118,125,195
-0.2121,118,250,195
-0.2467,118,375,195
-0.3028,118,500,195
-0.3423,118,625,195
-0.3706,118,750,195
-0.4216,118,875,195
-0.468,118,1000,195
-0.5252,118,1125,195
-0.5692,118,1250,195
-0.6057,118,1375,195
-0.6393,118,1500,195
-0.6667,118,1625,195
-0.7087,118,1750,195
-0.76,118,1875,195
-0.7958,118,2000,195
0,119,0,195
-0.1131,119,125,195
-0.2444,119,250,195
-0.3556,119,375,195
-0.4726,119,500,195
-0.6794,119,625,195
-0.7485,119,750,195
-0.7915,119,875,195
-0.8343,119,1000,195
-0.8677,119,1125,195
-0.9114,119,1250,195
-0.9514,119,1375,195
-0.9778,119,1500,195
-1.0018,119,1625,195
-1.0531,119,1750,195
-1.0834,119,1875,195
-1.1206,119,2000,195
0,120,0,237
-0.4658,120,125,237
-0.7612,120,250,237
-1.0309,120,375,237
-1.0827,120,500,237
-1.1588,120,625,237
-1.2613,120,750,237
-1.2992,120,875,237
-1.3414,120,1000,237
0,121,0,237
-0.6755,121,125,237
-0.8281,121,250,237
-1.0878,121,375,237
-1.2073,121,500,237
-1.3005,121,625,237
-1.3589,121,750,237
-1.3923,121,875,237
-1.4423,121,1000,237
0,122,0,237
-0.1913,122,125,237
-0.3362,122,250,237
-0.5462,122,375,237
-0.7019,122,500,237
-0.7695,122,625,237
-0.8362,122,750,237
-0.9008,122,875,237
-0.9409,122,1000,237
0,123,0,237
-0.2598,123,125,237
-0.3664,123,250,237
-0.6362,123,375,237
-0.751,123,500,237
-0.9251,123,625,237
-1.0197,123,750,237
-1.1086,123,875,237
-1.1762,123,1000,237
0,124,0,237
-0.1569,124,125,237
-0.2883,124,250,237
-0.4237,124,375,237
-0.5549,124,500,237
-0.6984,124,625,237
-0.7759,124,750,237
-0.842,124,875,237
-0.9019,124,1000,237
0,125,0,237
-0.3893,125,125,237
-0.583,125,250,237
-0.7736,125,375,237
-0.9821,125,500,237
-1.0517,125,625,237
-1.1755,125,750,237
-1.2484,125,875,237
-1.2871,125,1000,237
0,126,0,237
-0.2377,126,125,237
-0.3817,126,250,237
-0.6325,126,375,237
-0.8143,126,500,237
-0.9214,126,625,237
-0.985,126,750,237
-1.0439,126,875,237
-1.1164,126,1000,237
0,127,0,237
-0.1871,127,125,237
-0.3921,127,250,237
-0.6713,127,375,237
-0.7817,127,500,237
-0.9001,127,625,237
-1.0347,127,750,237
-1.117,127,875,237
-1.1392,127,1000,237
0,128,0,237
-0.369,128,125,237
-0.5695,128,250,237
-0.8742,128,375,237
-1.0156,128,500,237
-1.2178,128,625,237
-1.2694,128,750,237
-1.3338,128,875,237
-1.3505,128,1000,237
0,129,0,237
-0.2332,129,125,237
-0.4355,129,250,237
-0.6574,129,375,237
-0.7756,129,500,237
-0.9829,129,625,237
-1.0697,129,750,237
-1.1256,129,875,237
-1.178,129,1000,237
0,130,0,237
-0.3456,130,125,237
-0.5781,130,250,237
-0.7079,130,375,237
-0.7931,130,500,237
-0.8658,130,625,237
-1.0375,130,750,237
-1.0844,130,875,237
-1.149,130,1000,237
0,131,0,237
-0.3497,131,125,237
-0.6295,131,250,237
-0.7965,131,375,237
-0.994,131,500,237
-1.1455,131,625,237
-1.3547,131,750,237
-1.3836,131,875,237
-1.4189,131,1000,237
0,132,0,237
-0.4886,132,125,237
-0.61,132,250,237
-0.7507,132,375,237
-0.9813,132,500,237
-1.0855,132,625,237
-1.1434,132,750,237
-1.1988,132,875,237
-1.2631,132,1000,237
0,133,0,237
-0.2661,133,125,237
-0.4666,133,250,237
-0.5643,133,375,237
-0.7121,133,500,237
-0.7903,133,625,237
-0.8936,133,750,237
-0.9411,133,875,237
-0.9838,133,1000,237
0,134,0,237
-0.2319,134,125,237
-0.6763,134,250,237
-0.9115,134,375,237
-0.985,134,500,237
-1.0506,134,625,237
-1.1244,134,750,237
-1.1908,134,875,237
-1.227,134,1000,237
