Machine Number,Hours,Labor Cost (hours),Event
13,1833,3.3,Action
13,2178,2.9,Action
13,2559,2.8,Action
13,2877,2.7,Action
13,2944,13.5,Action
13,3224,3.2,Action
13,3558,2.8,Action
13,3704,1,Action
13,3925,2.6,Action
13,4229,2.9,Action
13,4377,3.4,Action
13,4612,2.9,Action
13,4837,2.7,Action
13,4971,2.8,Action
13,5277,2.8,Action
13,5418.5,0,End
14,351,2.4,Action
14,430,3.7,Action
14,694,1.8,Action
14,745,3,Action
14,790,2,Action
14,1061,2.7,Action
14,1067,2,Action
14,1408,3,Action
14,1779,2.8,Action
14,1963,5.9,Action
14,2152,2.8,Action
14,2488,13.6,Action
14,2550,3,Action
14,2854,3,Action
14,3186,3.2,Action
14,3581,2.9,Action
14,3622,1.3,Action
14,3693,4.8,Action
14,3968,3,Action
14,4012,5.4,Action
14,4121,4.7,Action
14,4302,3,Action
14,4616,2.7,Action
14,4727,10.2,Action
14,4951,3,Action
14,5281,2.6,Action
14,5631,3.2,Action
14,5806.1,0,End
15,120,3,Action
15,366,3.1,Action
15,721,3.3,Action
15,736,2.2,Action
15,1033,2.8,Action
15,1419,3.5,Action
15,1568,2.5,Action
15,1795,2.9,Action
15,2008,4.1,Action
15,2123,2.6,Action
15,2341,3.1,Action
15,2514,3.1,Action
15,2869,2.7,Action
15,3045,18.1,Action
15,3233,3.1,Action
15,3583,2.7,Action
15,3912,5.4,Action
15,3935,1.6,Action
15,3951,2.8,Action
15,4264,3.1,Action
15,4532,2.3,Action
15,4650,3.2,Action
15,5013,2.9,Action
15,5134.8,0,End
16,268,4.3,Action
16,367,3,Action
16,419,2.6,Action
16,739,3.1,Action
16,804,6.4,Action
16,1040,3.3,Action
16,1297,4.6,Action
16,1325,5.2,Action
16,1435,2.8,Action
16,1805,2.7,Action
16,1818,3,Action
16,2141,3.1,Action
16,2276,1.3,Action
16,2480,3.4,Action
16,2851,2.9,Action
16,3185,3,Action
16,3196,15.6,Action
16,3502,2.8,Action
16,3865,2.7,Action
16,4069,4.9,Action
16,4177,3.2,Action
16,4511,2.8,Action
16,4754,4.8,Action
16,4846,3.1,Action
16,4959.1,0,End
17,380,2.7,Action
17,687,3,Action
17,847,2,Action
17,1006,3.1,Action
17,1369,3.1,Action
17,1714,2.8,Action
17,2014,2.9,Action
17,2213,17.5,Action
17,2337,2.6,Action
17,2649,3.1,Action
17,2951,2.7,Action
17,3290,3.1,Action
17,3623,2.8,Action
17,3927,1.6,Action
17,4012,2.8,Action
17,4357,2.9,Action
17,4621,5.3,Action
17,4651,3.4,Action
17,4691,3.2,Action
17,5023,2.9,Action
17,5253.6,0,End
18,221,2.5,Action
18,307,2.7,Action
18,618,3.1,Action
18,839,3.1,Action
18,956,3,Action
18,1294,1.8,Action
18,1321,3.2,Action
18,1651,2.8,Action
18,2007,3,Action
18,2122,4.8,Action
18,2334,2.7,Action
18,2699,2.9,Action
18,2966,9,Action
18,3018,3.1,Action
18,3373,2.9,Action
18,3673,3.1,Action
18,3766,1.6,Action
18,4064,2.7,Action
18,4367,2.1,Action
18,4406,2.8,Action
18,4475,3.8,Action
18,4502,1.3,Action
18,4654,1.8,Action
18,4682.7,0,End
19,395,3.1,Action
19,769,3.1,Action
19,1154,2.7,Action
19,1457,3,Action
19,1826,3.1,Action
19,1839,4.4,Action
19,2221,3.3,Action
19,2611,2.6,Action
19,2780,1.3,Action
19,2912,2.9,Action
19,2926,4.9,Action
19,3258,2.9,Action
19,3622,3,Action
19,3924,3,Action
19,4264.1,0,End
20,376,3.3,Action
20,447,4.9,Action
20,679,5.8,Action
20,682,2.9,Action
20,756,2.8,Action
20,1065,3,Action
20,1381,3.8,Action
20,1461,3,Action
20,1669,2.6,Action
20,1844,3.2,Action
20,1989,3.2,Action
20,2038,1.7,Action
20,2205,2.8,Action
20,2415,13.8,Action
20,2556,3.1,Action
20,2875,3.5,Action
20,2937.9,0,End
21,174,3.2,Action
21,355,3.2,Action
21,647,1.1,Action
21,751,3,Action
21,1114,2.9,Action
21,1124,1.5,Action
21,1255,3.4,Action
21,1435,2.5,Action
21,1736,2.9,Action
21,2017.2,0,End
22,303,2.9,Action
22,643,3.1,Action
22,794,1,Action
22,983,3,Action
22,1005,2.5,Action
22,1296,3.1,Action
22,1685,3,Action
22,2041,2.9,Action
22,2375,3,Action
22,2453.1,0,End
23,328,3,Action
23,679,3,Action
23,877,3.2,Action
23,1008,3,Action
23,1016,2.9,Action
23,1390,2.9,Action
23,1714,3,Action
23,1971,5,Action
23,1979,5.4,Action
23,2108,3.2,Action
23,2130,1.9,Action
23,2366,2.1,Action
23,2434,2.6,Action
23,2745,9.5,Action
23,2777,5.3,Action
23,2799,2.8,Action
23,3137.1,0,End
