Unit Number,DegreesC,Current (mA),Hours,Relative Change
70,110,40,570,0.89826
70,110,40,666,0.87483
70,110,40,738,0.85871
70,110,40,834,0.84325
70,110,40,906,0.82785
71,110,40,138,1
71,110,40,234,0.96971
71,110,40,330,0.94356
71,110,40,402,0.9286
71,110,40,498,0.90818
71,110,40,570,0.89362
71,110,40,666,0.87049
71,110,40,738,0.85539
71,110,40,834,0.83915
71,110,40,906,0.82404
72,110,40,138,1
72,110,40,234,0.96183
72,110,40,330,0.93337
72,110,40,402,0.91862
72,110,40,498,0.89754
72,110,40,570,0.88449
72,110,40,666,0.86632
72,110,40,738,0.84977
72,110,40,834,0.8395
72,110,40,906,0.82367
73,110,40,138,1
73,110,40,234,0.96824
73,110,40,330,0.93902
73,110,40,402,0.92428
73,110,40,498,0.90374
73,110,40,570,0.88784
73,110,40,666,0.86638
73,110,40,738,0.84708
73,110,40,834,0.83589
73,110,40,906,0.81719
74,110,40,138,1
74,110,40,234,0.97438
74,110,40,330,0.94892
74,110,40,402,0.93845
74,110,40,498,0.91528
74,110,40,570,0.89976
74,110,40,666,0.87616
74,110,40,738,0.85897
74,110,40,834,0.8469
74,110,40,906,0.82862
75,110,40,138,1
75,110,40,234,0.97266
75,110,40,330,0.9428
75,110,40,402,0.92973
75,110,40,498,0.91096
75,110,40,570,0.89754
75,110,40,666,0.87515
75,110,40,738,0.85994
75,110,40,834,0.8453
75,110,40,906,0.83262
76,110,40,138,1
76,110,40,234,0.96861
76,110,40,330,0.94163
76,110,40,402,0.93177
76,110,40,498,0.91189
76,110,40,570,0.89495
76,110,40,666,0.87558
76,110,40,738,0.85955
76,110,40,834,0.83872
76,110,40,906,0.82747
77,110,40,138,1
77,110,40,234,0.96081
77,110,40,330,0.93521
77,110,40,402,0.92284
77,110,40,498,0.89933
77,110,40,570,0.88483
77,110,40,666,0.86502
77,110,40,738,0.85099
77,110,40,834,0.83854
77,110,40,906,0.82356
78,110,40,138,1
78,110,40,234,0.96456
78,110,40,330,0.93962
78,110,40,402,0.92836
78,110,40,498,0.90471
78,110,40,570,0.88875
78,110,40,666,0.86634
78,110,40,738,0.83855
78,110,40,834,0.82807
78,110,40,906,0.80979
79,110,40,138,1
79,110,40,234,0.95986
79,110,40,330,0.93016
79,110,40,402,0.92238
79,110,40,498,0.91253
79,110,40,570,0.89516
79,110,40,666,0.87577
79,110,40,738,0.84389
79,110,40,834,0.83807
79,110,40,906,0.82758
80,110,40,138,1
80,110,40,234,0.97696
80,110,40,330,0.95014
80,110,40,402,0.94105
80,110,40,498,0.92398
80,110,40,570,0.90874
80,110,40,666,0.88901
80,110,40,738,0.87059
80,110,40,834,0.85754
80,110,40,906,0.84742
81,110,40,138,1
81,110,40,234,0.97247
81,110,40,330,0.9509
81,110,40,402,0.94358
81,110,40,498,0.93299
81,110,40,570,0.90182
81,110,40,666,0.89771
81,110,40,738,0.87552
81,110,40,834,0.86886
81,110,40,906,0.85399
82,110,40,138,1
82,110,40,234,0.97336
82,110,40,330,0.95256
82,110,40,402,0.94448
82,110,40,498,0.92351
82,110,40,570,0.90688
82,110,40,666,0.88804
82,110,40,738,0.87218
82,110,40,834,0.86318
82,110,40,906,0.84587
83,110,40,138,1
83,110,40,234,0.96992
83,110,40,330,0.94464
83,110,40,402,0.93459
83,110,40,498,0.91171
83,110,40,570,0.89416
83,110,40,666,0.87261
83,110,40,738,0.85901
83,110,40,834,0.85024
83,110,40,906,0.8318
84,110,40,138,1
84,110,40,234,0.96976
84,110,40,330,0.93736
84,110,40,402,0.92926
84,110,40,498,0.9125
84,110,40,570,0.89856
84,110,40,666,0.87891
84,110,40,738,0.86948
84,110,40,834,0.85916
84,110,40,906,0.84642
85,110,40,138,1
85,110,40,234,0.97073
85,110,40,330,0.9412
85,110,40,402,0.9298
85,110,40,498,0.90912
85,110,40,570,0.8971
85,110,40,666,0.8762
85,110,40,738,0.86065
85,110,40,834,0.84364
85,110,40,906,0.83321
86,110,40,138,1
86,110,40,234,0.96946
86,110,40,330,0.94718
86,110,40,402,0.93626
86,110,40,498,0.91355
86,110,40,570,0.90377
86,110,40,666,0.88621
86,110,40,738,0.87054
86,110,40,834,0.85537
86,110,40,906,0.84319
87,110,40,138,1
87,110,40,234,0.96371
87,110,40,330,0.941
87,110,40,402,0.92893
87,110,40,498,0.9034
87,110,40,570,0.88982
87,110,40,666,0.87129
87,110,40,738,0.8538
87,110,40,834,0.84575
87,110,40,906,0.82718
88,110,40,138,1
88,110,40,234,0.97023
88,110,40,330,0.9423
88,110,40,402,0.93511
88,110,40,498,0.91313
88,110,40,570,0.89173
88,110,40,666,0.87097
88,110,40,738,0.85519
88,110,40,834,0.84876
88,110,40,906,0.83051
89,110,40,138,1
89,110,40,234,0.97364
89,110,40,330,0.9395
89,110,40,402,0.92962
89,110,40,498,0.90853
89,110,40,570,0.88974
89,110,40,666,0.86563
89,110,40,738,0.84933
89,110,40,834,0.83568
89,110,40,906,0.81928
90,110,40,138,1
90,110,40,234,0.97329
90,110,40,330,0.93999
90,110,40,402,0.92554
90,110,40,498,0.91278
90,110,40,570,0.89313
90,110,40,666,0.87903
90,110,40,738,0.86601
90,110,40,834,0.85129
90,110,40,906,0.84217
91,114,30,138,1
91,114,30,234,0.96757
91,114,30,330,0.94434
91,114,30,402,0.93337
91,114,30,498,0.91221
91,114,30,570,0.90197
91,114,30,666,0.88489
91,114,30,738,0.86007
91,114,30,834,0.84632
91,114,30,906,0.83639
92,114,30,138,1
92,114,30,234,0.96944
92,114,30,330,0.94406
92,114,30,402,0.93746
92,114,30,498,0.91588
92,114,30,570,0.90857
92,114,30,666,0.89443
92,114,30,738,0.88622
92,114,30,834,0.86852
92,114,30,906,0.86316
93,114,30,138,1
93,114,30,234,0.97277
93,114,30,330,0.94436
93,114,30,402,0.94201
93,114,30,498,0.9195
93,114,30,570,0.90617
93,114,30,666,0.89045
93,114,30,738,0.87832
93,114,30,834,0.86464
93,114,30,906,0.8499
94,114,30,138,1
94,114,30,234,0.97645
94,114,30,330,0.95179
94,114,30,402,0.94337
94,114,30,498,0.92571
94,114,30,570,0.91104
94,114,30,666,0.89346
94,114,30,738,0.88103
94,114,30,834,0.86533
94,114,30,906,0.84998
95,114,30,138,1
95,114,30,234,0.97192
95,114,30,330,0.95088
95,114,30,402,0.93783
95,114,30,498,0.92106
95,114,30,570,0.90725
95,114,30,666,0.88995
95,114,30,738,0.87867
95,114,30,834,0.8546
95,114,30,906,0.8424
96,114,30,138,1
96,114,30,234,0.95599
96,114,30,330,0.93909
96,114,30,402,0.92187
96,114,30,498,0.89972
96,114,30,570,0.89381
96,114,30,666,0.86679
96,114,30,738,0.84481
96,114,30,834,0.81513
96,114,30,906,0.80356
97,114,30,138,1
97,114,30,234,0.97115
97,114,30,330,0.94453
97,114,30,402,0.93521
97,114,30,498,0.91177
97,114,30,570,0.90119
97,114,30,666,0.88536
97,114,30,738,0.86793
97,114,30,834,0.85099
97,114,30,906,0.83947
98,114,30,138,1
98,114,30,234,0.97367
98,114,30,330,0.94405
98,114,30,402,0.9388
98,114,30,498,0.91692
98,114,30,570,0.90239
98,114,30,666,0.8883
98,114,30,738,0.87523
98,114,30,834,0.86191
98,114,30,906,0.84845
99,114,30,138,1
99,114,30,234,0.96946
99,114,30,330,0.94665
99,114,30,402,0.93627
99,114,30,498,0.91801
99,114,30,570,0.90151
99,114,30,666,0.88705
99,114,30,738,0.8743
99,114,30,834,0.85867
99,114,30,906,0.84518
100,114,30,138,1
100,114,30,234,0.97001
100,114,30,330,0.94935
100,114,30,402,0.93913
100,114,30,498,0.92078
100,114,30,570,0.88006
100,114,30,666,0.89111
100,114,30,738,0.87891
100,114,30,834,0.86053
100,114,30,906,0.84926
101,114,30,138,1
101,114,30,234,0.97161
101,114,30,330,0.94812
101,114,30,402,0.93691
101,114,30,498,0.91792
101,114,30,570,0.90496
101,114,30,666,0.89412
101,114,30,738,0.88352
101,114,30,834,0.86336
101,114,30,906,0.85613
102,114,30,138,1
102,114,30,234,0.97703
102,114,30,330,0.94492
102,114,30,402,0.93322
102,114,30,498,0.90969
102,114,30,570,0.89655
102,114,30,666,0.87974
102,114,30,738,0.86474
102,114,30,834,0.84581
102,114,30,906,0.83469
103,114,30,138,1
103,114,30,234,0.97331
103,114,30,330,0.94758
103,114,30,402,0.93685
103,114,30,498,0.91535
103,114,30,570,0.90182
103,114,30,666,0.88613
103,114,30,738,0.87387
103,114,30,834,0.85524
103,114,30,906,0.8428
104,114,30,138,1
104,114,30,234,0.97079
104,114,30,330,0.94767
104,114,30,402,0.93516
104,114,30,498,0.91869
104,114,30,570,0.9032
104,114,30,666,0.88646
104,114,30,738,0.87677
104,114,30,834,0.86297
104,114,30,906,0.848
105,114,30,138,1
105,114,30,234,0.96912
105,114,30,330,0.9442
105,114,30,402,0.93188
105,114,30,498,0.91335
105,114,30,570,0.90278
105,114,30,666,0.88442
105,114,30,738,0.87554
105,114,30,834,0.85714
105,114,30,906,0.84588
106,114,30,138,1
106,114,30,234,0.97266
106,114,30,330,0.94812
106,114,30,402,0.93852
106,114,30,498,0.91983
106,114,30,570,0.9072
106,114,30,666,0.89088
106,114,30,738,0.87742
106,114,30,834,0.85647
106,114,30,906,0.84824
107,114,30,138,1
107,114,30,234,0.97206
107,114,30,330,0.94795
107,114,30,402,0.94154
107,114,30,498,0.92158
107,114,30,570,0.91117
107,114,30,666,0.89949
107,114,30,738,0.88532
107,114,30,834,0.87133
107,114,30,906,0.86383
108,114,30,138,1
108,114,30,234,0.96687
108,114,30,330,0.9444
108,114,30,402,0.93359
108,114,30,498,0.91426
108,114,30,570,0.89962
108,114,30,666,0.88595
108,114,30,738,0.85992
108,114,30,834,0.8475
108,114,30,906,0.83438
109,114,30,138,1
109,114,30,234,0.96211
109,114,30,330,0.93723
109,114,30,402,0.92443
109,114,30,498,0.91328
109,114,30,570,0.89983
109,114,30,666,0.88213
109,114,30,738,0.85848
109,114,30,834,0.85163
109,114,30,906,0.83447
110,114,30,138,1
110,114,30,234,0.96707
110,114,30,330,0.93908
110,114,30,402,0.93011
110,114,30,498,0.91542
110,114,30,570,0.90469
110,114,30,666,0.88645
110,114,30,738,0.87729
